baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
yar071w	1482.93473008729	4.0018930378471	0.0973334879292005	41.1152741259827	0	0
yer001w	669.683663798584	2.35318211347023	0.0620461653656272	37.9263101853811	0	0
ygr234w	2822.72147986694	4.09849524762968	0.0984281166499899	41.6394764740233	0	0
yhr215w	1168.83226040844	4.15757138901186	0.10904557547161	38.1269150172376	0	0
yil121w	859.805475701203	2.79431927963999	0.057022657144666	49.0036666048519	0	0
yor290c	877.676936733939	7.16232349513588	0.180563810713423	39.6664396195279	0	0
yor273c	2126.63052867057	2.16503579064246	0.0658079002098661	32.8993294686201	2.24692337184119e-237	2.20455281682933e-234
ybl005w-b	1480.2173519211	2.18816274423808	0.0698969942810042	31.3055341899409	3.92338777500092e-215	3.36822840483829e-212
ykl109w	1706.80866052237	2.1261464239631	0.0679932162035092	31.2699787225739	1.19477192767078e-214	9.11743733249215e-212
ygr027w-b	1865.84370214738	2.36901760695058	0.077920648693597	30.4029502663169	5.02121271862233e-203	3.44856889514982e-200
ynl284c-b	2076.16102691801	2.11326310443855	0.0712043305939742	29.6788564236202	1.43951365676751e-193	8.98779981334479e-191
yor348c	266.791340912784	-2.59355803928287	0.0875607858598778	-29.6200863641551	8.23821911505574e-193	4.71500740685023e-190
ymr045c	1566.16398524138	2.26897965374494	0.0774888042437761	29.281386851794	1.79012089905041e-188	9.45734641129093e-186
yer011w	1706.13969938621	4.21288093173389	0.144301771998629	29.1949355394883	2.24863955829398e-187	1.1031183204545e-184
yjr029w	1804.28795305924	2.31746474050043	0.0799096845322391	29.0010497984817	6.38204547923613e-185	2.92212589009292e-182
ylr227w-b	1550.30299284575	2.40707384630328	0.0838547090772645	28.7052912447097	3.27705891059735e-181	1.40667753737391e-178
yar009c	1354.70473967514	2.58667363121394	0.0913017891718595	28.3310289390384	1.4338813361855e-176	5.79288059818941e-174
ypl025c	126.969387340932	-3.66177042637925	0.129857865881811	-28.1982951245477	6.13592433056728e-175	2.34119601679645e-172
ylr157c-b	2082.61325519474	2.47931477656459	0.0888328711750987	27.9098800226507	2.02444926311108e-171	7.31785133634049e-169
yjr027w	2029.95838783541	2.44726650635036	0.0889049501622487	27.5267744021472	8.39629151140799e-167	2.8832865050175e-164
yer081w	4465.7408627313	-3.2365501273235	0.117782794127362	-27.4789722157867	3.1318880032279e-166	1.02427651457949e-163
yer160c	1446.48645677711	2.22825865899065	0.0812944844048936	27.409715127691	2.10072630477297e-165	6.55808557326398e-163
yer138c	1678.90108765839	2.49296519697035	0.090985436749761	27.3996068604561	2.77226494975755e-165	8.27822420649342e-163
ydr011w	1737.28597643241	1.23883264717558	0.045283266269419	27.3574048259897	8.81655010406906e-165	2.5230027547811e-162
ypl019c	2067.90628623692	2.44349683573691	0.090515656080004	26.9952949750171	1.6783614620467e-160	4.61079460853468e-158
ylr410w-b	757.704019817509	1.45055474407572	0.053931822544753	26.8960824172415	2.44062823000027e-159	6.44701333986226e-157
yhr214c-b	1661.87902141875	2.19854661536845	0.0818582309636802	26.8579785989258	6.80587885506835e-159	1.73121392505961e-156
