GENE	SRR1566088	SRR1566089	SRR1566090	SRR1566091	SRR1566092	SRR1566093	SRR1566094	SRR1566095	SRR1566097	SRR1566096	SRR1566098	SRR1566099	SRR1566100	SRR1566101
ENSG00000115526.10	5906	4315	10188	31992	7433	6556	1664	9660	6053	20165	16657	25041	7691	21617
ENSG00000115539.13	10618	10417	29757	21409	9180	9874	6437	4989	10024	23511	21230	25852	12929	34519
ENSG00000115540.14	110315	72722	145966	49583	60539	140202	36943	51351	101477	64806	92949	77572	73375	54867
ENSG00000115541.10	32286	35016	28694	78419	44100	28553	31781	41533	21944	104962	167562	154138	19726	89291
ENSG00000115548.16	261722	188618	201285	92303	260033	218640	171395	56287	206274	166583	152021	96202	330501	75712
ENSG00000115556.13	1700	1971	3757	4028	1241	5294	52	820	624	4609	3927	4698	1770	3839
ENSG00000115561.15	68846	98367	95479	140443	84093	190883	50616	48861	169673	144286	118353	154239	119451	122642
ENSG00000115568.15	42467	16384	25135	43620	25897	29921	26349	28204	17923	40557	39765	55277	25370	50972
ENSG00000115590.13	16922	3238	394718	7687	11840	10584	52	622	347991	1664	156	106111	9694	11919
ENSG00000115592.11	126	505	132	0	0	284	0	0	240	0	0	0	399	0
ENSG00000115593.14	0	0	0	0	0	0	0	0	0	0	258	312	0	0
ENSG00000115594.11	175773	22084	162586	13304	20245	14268	988	26498	67328	20659	72727	27002	68009	20351
ENSG00000115596.3	0	416	517	207	0	52	52	0	0	4647	358	1295	104	2606
ENSG00000115598.9	1398	0	929	0	0	0	0	0	0	0	0	0	949	0
ENSG00000115602.16	1872	676	832	1606	51	0	2236	52	74281	11586	155	364	311	0
ENSG00000115604.10	34020	6262	5204	1967	4911	5029	312	544	37379	12635	2774	6578	2223	25178
ENSG00000115607.9	21509	16350	5545	9392	16635	1902	695	52	59019	22430	4447	17841	4763	6151
ENSG00000115616.2	0	104	0	0	0	0	0	0	0	60	242	0	0	0
ENSG00000115641.18	23482	24876	6374	7102	20424	8609	59313	36204	3739	54968	93002	103808	3484	11819
ENSG00000115648.13	0	0	0	0	42	0	0	0	0	104	35	566	52	26
ENSG00000115649.15	232023	165031	203559	152168	136963	215679	197199	103693	152734	242752	295869	252350	261060	190826
ENSG00000115652.14	31627	24725	21982	87803	34386	38282	25948	29860	40513	68051	40766	59981	34926	68260
ENSG00000115657.12	113991	38423	16792	41203	65895	44446	113894	83618	7171	165147	384414	291267	9459	29940
ENSG00000115661.13	60953	33572	58680	64167	49057	74998	44624	52330	78707	73171	59091	94728	37810	77952
ENSG00000115665.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000115677.16	286204	226171	195843	313602	247264	266635	149797	215570	256041	520541	638322	569922	187654	481606
ENSG00000115685.14	47250	48638	61010	72792	45110	73839	37739	81993	33919	97236	115905	119565	43736	144804
ENSG00000115687.13	59869	38615	31796	27453	41250	26294	30487	25162	16832	72240	83168	59680	28863	49025
ENSG00000115694.14	67497	96475	78446	146477	102643	104194	64406	142996	75076	192462	246157	257479	57950	183402
ENSG00000115705.20	0	0	0	5687	0	22	0	0	0	622	0	156	0	0
ENSG00000115718.17	3951	364	2536	52	988	512	0	0	2026	416	831	572	1347	467
ENSG00000115738.9	322319	501397	1082460	77586	288919	402545	48420	310748	645382	534765	194905	370179	383319	301188
ENSG00000115750.16	17823	7101	16697	11565	9395	25180	4678	22615	14848	16017	21671	27617	9935	28047
ENSG00000115756.12	62683	57549	43638	106372	38672	94565	4870	46112	135681	68114	32071	72326	56074	163022
ENSG00000115758.12	68855	173878	84478	158675	147979	104436	151158	147654	55107	308027	690095	600010	233231	166025
ENSG00000115760.13	193535	115167	165923	150701	134807	175918	69865	51849	211514	132525	138531	112336	120033	136932
ENSG00000115761.15	31138	27946	29973	25288	28047	32114	16443	11522	26754	50063	62794	61763	29131	28194
ENSG00000115762.16	220686	223037	349832	92854	186313	253412	105878	113865	358351	124857	131844	168401	324594	195545
ENSG00000115806.12	174417	97320	87074	108468	75762	153705	64286	37445	181906	124034	72069	114184	86380	124477
ENSG00000115808.11	84452	67026	48565	62189	59381	105687	39262	45697	92927	75122	135311	81356	56493	56790
ENSG00000115816.14	98020	59055	91856	82185	73105	120682	41166	37697	82938	120792	119816	122855	65080	86264
ENSG00000115825.9	85890	83653	94361	80730	82982	96107	22587	31147	141376	56166	18842	24163	54977	108769
ENSG00000115827.13	16623	11137	14245	44151	17236	20237	7996	5033	25548	29002	37499	42110	13353	38636
ENSG00000115828.15	30746	77623	39597	18380	50845	77649	1202	16824	91215	24083	3168	53970	65103	151747
ENSG00000115839.17	70630	60432	90380	66138	48376	86274	46162	14831	102341	57318	67512	71042	70282	69812
ENSG00000115840.13	12789	12934	22860	49703	14668	20288	4939	17349	17351	39249	17851	31567	10817	36439
ENSG00000115841.19	4915	8933	5825	6287	3582	12238	3940	11425	4303	14413	9403	10315	4324	10725
ENSG00000115844.10	0	20	25	52	50	28	0	221	0	150	363	259	72	20
ENSG00000115850.9	52	103	14	23386	199	0	0	0	51	1215	208	52	0	155
ENSG00000115866.10	84299	77949	77419	164875	110874	124032	34154	51663	89446	177739	107042	129940	42735	148817
ENSG00000115875.18	217957	236416	158154	335369	394139	233372	140816	168835	228314	428201	465802	579961	266893	430693
ENSG00000115884.10	4221	1563	260	312	676	728	1664	1610	1032	32223	1352	6659	468	23177
ENSG00000115896.15	11303	8025	20595	1448	1802	18328	1248	9200	3825	13403	4891	10325	10246	10919
ENSG00000115902.10	127731	23715	15309	45381	16088	57079	9220	29137	26517	24097	57624	55617	28646	159791
ENSG00000115904.12	38733	19398	148913	102770	19033	36636	29506	20911	40676	163509	132620	124687	17218	77916
ENSG00000115919.14	68312	78297	144677	13031	17314	93881	5008	24913	55821	25530	7878	32527	86235	117700
ENSG00000115934.11	0	0	0	0	0	0	0	0	0	52	0	0	0	0
ENSG00000115935.17	459542	198729	193450	298516	174902	285938	82467	97264	494211	380100	83518	159570	204262	348110
ENSG00000115942.8	11846	22098	18337	33068	28555	22151	8053	34256	19507	39020	73714	69680	5709	32945
ENSG00000115944.14	269786	144667	292335	256526	182988	352809	112269	168054	285680	162896	155544	256370	151349	249234
ENSG00000115946.7	40474	19217	16210	18682	19244	34646	19197	20485	23657	49911	46718	53881	13677	38627
ENSG00000115947.13	41158	37433	37631	47280	44373	45145	19256	44734	40006	49365	89169	60745	29807	46451
ENSG00000115956.9	996410	1434009	1254576	436504	2453489	1745997	248163	796280	1421988	502495	264802	447011	719783	562779
ENSG00000115963.13	727	3585	1924	0	624	1502	0	0	608	832	0	1404	208	3218
ENSG00000115966.16	103802	69453	55588	65748	87565	78747	48014	47768	83570	69825	70975	52553	73473	60098
ENSG00000115970.18	23245	30122	57860	48434	34676	26747	18096	26994	21891	97570	81316	60059	19803	72532
ENSG00000115977.18	128652	95607	99812	21124	45127	100346	38214	22759	145067	55021	62019	39980	75810	58405
ENSG00000115993.12	222359	122867	72407	103658	184588	201218	110878	315564	67218	395155	1537273	628922	71012	118560
ENSG00000115998.7	13387	8630	8231	22162	12660	13614	4406	10638	12588	22825	26652	20569	10126	22681
ENSG00000116001.15	79135	61576	50847	243320	68138	73714	27131	49254	101059	154986	130764	114203	48256	255373
ENSG00000116005.11	6188	7120	5192	47591	3408	6500	2909	624	7136	25221	12963	18123	6844	35563
ENSG00000116014.9	152	0	0	0	0	0	3064	0	0	572	468	38	208	52
ENSG00000116016.13	7738	17846	5517	259	17511	11468	103	29112	18478	76454	1456	4396	8525	5374
ENSG00000116017.10	38129	50531	43021	24118	40275	71644	12185	13048	80172	29767	19343	34645	43025	103895
ENSG00000116030.16	143831	108590	152489	83208	119974	165936	71859	54459	110273	142516	140115	143952	140002	149272
ENSG00000116031.8	617	104	0	0	0	312	0	0	0	0	0	0	0	3617
ENSG00000116032.5	3608	3184	5931	2477	3014	2206	4126	2710	3292	6685	3365	2523	4231	4900
ENSG00000116035.2	52	104	0	0	0	52	0	0	0	0	0	0	0	0
ENSG00000116039.11	0	0	0	0	260	0	0	312	0	0	0	0	0	0
ENSG00000116044.15	150049	64433	157005	103370	77776	244123	24869	60741	260142	183955	110368	103498	69259	106595
ENSG00000116062.14	186644	104509	192195	151591	122782	183349	76603	126678	135147	161041	213200	209438	119308	189523
ENSG00000116095.10	37719	26704	47513	26488	36791	46508	24034	23513	54153	35252	43764	35655	33881	23371
ENSG00000116096.5	1716	2273	1868	4780	2016	1604	572	2598	3063	8717	7071	10608	2865	8128
ENSG00000116106.11	4810	3850	4582	130	468	935	1773	0	4360	11311	2393	936	13760	51
ENSG00000116117.17	104	6401	5889	18197	1628	364	0	0	728	3748	222	1505	208	1820
ENSG00000116120.9	69286	46432	24964	59985	47888	62317	33147	43414	26505	85149	133785	165699	26173	85660
ENSG00000116127.17	25940	35669	21506	32755	36545	27132	18744	17399	8000	52622	79160	55853	13288	26926
ENSG00000116128.10	5358	25252	26352	30363	10714	26014	11006	13156	17693	18166	4329	11039	14738	9579
ENSG00000116132.11	0	156	0	0	0	254	0	0	0	2545	416	0	0	23
ENSG00000116133.11	4983	15220	3297	123658	6669	13644	20575	12440	16469	40810	55201	123593	3898	105576
ENSG00000116138.12	14075	15573	35612	25024	5507	19047	10287	5122	17810	22166	23188	21829	13457	27610
ENSG00000116141.15	0	1242	676	0	0	0	0	2236	0	0	0	2080	465	468
ENSG00000116147.16	324	0	0	104	52	0	0	0	0	884	104	0	0	104
ENSG00000116151.13	468	3276	2634	5956	4119	643	2493	3940	104	8855	6880	8485	996	2153
ENSG00000116157.5	19198	23886	17840	71782	24400	44335	1820	8789	21027	30978	14337	25288	8677	20655
ENSG00000116161.17	61250	51545	29916	85066	64757	64758	35107	52235	39045	102235	166644	165785	29526	125561
ENSG00000116171.16	70702	67450	114226	142471	83928	111653	44900	65531	90135	114292	90787	122519	59987	215496
ENSG00000116176.6	0	51	0	208	55	52	0	0	416	918	57	0	88	0
ENSG00000116183.10	0	156	0	0	0	0	0	0	0	0	260	0	0	0
ENSG00000116191.17	24015	20664	40811	48498	24942	24835	13601	26252	18165	52643	41234	30072	11894	30758
ENSG00000116194.12	222	259	147	52	156	89	0	0	0	0	0	0	0	52
ENSG00000116198.12	11538	13117	15128	35486	9051	11634	18219	13065	7886	47339	45709	62743	9992	38213
ENSG00000116199.11	63758	37129	50317	83431	27825	84344	16128	50702	66227	99785	246126	152662	37112	77409
ENSG00000116205.11	9133	6543	7692	43189	10849	11603	6084	5145	5642	32081	28802	30763	4894	45308
ENSG00000116209.11	233265	184582	241598	263264	191412	279834	208598	152723	320379	264109	321702	263000	215815	312010
ENSG00000116212.14	23743	21894	7859	21785	19158	19378	18118	10771	25705	30993	38979	34172	13168	23681
ENSG00000116213.15	32884	41182	32436	32239	21550	34998	27219	28135	31838	52975	41044	62558	18508	71256
ENSG00000116218.12	0	0	0	0	0	0	0	0	0	0	260	260	0	0
ENSG00000116221.15	88506	68391	44073	94376	88340	132702	81096	96849	56853	172202	272952	278753	48431	143029
ENSG00000116237.15	16107	8526	3201	60935	11716	15689	10002	39219	6136	66340	119339	139349	8082	105394
ENSG00000116251.9	802178	546606	965584	1583968	913118	991047	434121	476371	563099	834153	610529	785055	595583	1077207
ENSG00000116254.17	52	312	1242	52	1596	52	2235	0	0	884	582	2430	136	358
ENSG00000116260.16	164674	152711	331417	107769	196868	334152	124654	127925	381043	116658	77019	205810	359039	340485
ENSG00000116266.10	56515	74301	117822	108965	91635	97812	30355	49622	98282	81133	105630	97830	96989	93158
ENSG00000116273.5	62122	74364	50874	17049	37555	78075	50057	52056	14960	49153	48314	42711	37721	13977
ENSG00000116285.12	7471	32374	9069	1126	5492	1926	52	416	2182	9840	275	2340	1404	1784
ENSG00000116288.12	158772	136158	176460	269560	154450	175841	109503	147056	126681	269015	282787	389929	123088	431867
ENSG00000116299.16	520	1284	624	775	152	774	1768	155	52	6186	1120	2704	1088	988
ENSG00000116329.10	3402	520	674	881	668	460	624	1605	1659	416	1883	771	308	405
ENSG00000116337.15	295165	355849	553753	187527	352553	220026	73196	308580	355224	228392	94286	170417	615684	208966
ENSG00000116350.16	260007	242475	206529	91074	214797	207822	139687	103334	218922	197145	263594	288980	190267	204268
ENSG00000116353.15	3597	6914	5339	27392	8136	8552	13875	6497	4409	20663	19969	39659	6275	24651
ENSG00000116396.14	1642	6279	4991	14829	4524	1220	2080	3622	2191	10368	5964	5376	1795	9884
ENSG00000116406.18	31359	23724	31877	43583	31394	42811	26678	41304	36191	61658	84943	112019	24815	109859
ENSG00000116455.13	19840	15336	10709	47101	13947	15629	18078	18751	16253	68706	60598	88766	5676	85957
ENSG00000116459.10	230216	182415	261469	194642	179333	367700	89081	152915	245164	227123	239729	307584	191457	304540
ENSG00000116473.14	233164	145551	251479	89966	121482	287817	40290	128280	356239	203811	342145	271084	245442	220013
ENSG00000116478.11	123961	83291	82512	219061	74480	131828	98909	135276	92341	251521	274316	276133	86258	320377
ENSG00000116489.12	394368	277825	423327	150545	276778	283088	94429	158060	408399	175534	230760	252493	312435	474996
ENSG00000116497.17	19167	21623	28770	59495	35674	28533	9476	30434	10081	77645	57150	67514	20847	69121
ENSG00000116514.16	124135	153675	150379	27431	172348	302101	71217	104279	238566	86714	61286	51473	402347	53699
ENSG00000116521.10	45609	28614	22221	67403	28695	40183	30494	14661	50371	79703	44643	95986	23075	111562
ENSG00000116525.13	22054	14385	17578	8975	6123	31515	7263	5025	43081	24462	3190	9252	21034	15780
ENSG00000116539.11	104273	73930	90197	93097	84797	94576	51100	39268	106919	109947	105927	64656	65861	68342
ENSG00000116544.11	5690	2057	208	11342	1661	6049	615	1660	1747	2647	832	4518	2412	8071
ENSG00000116560.10	1062672	740829	705217	401680	901540	782202	549998	592950	632068	678248	894123	816303	546633	699283
ENSG00000116574.5	115627	155614	145284	8519	146133	278514	6260	85647	144123	10997	29381	53555	172075	153086
ENSG00000116580.18	113299	95682	132604	86914	129471	115420	80994	52034	127215	125636	153674	146720	93617	101541
ENSG00000116584.17	381959	286779	350179	222086	375795	525252	145640	145685	531818	299070	225801	343078	307092	326073
ENSG00000116586.11	28620	29974	19949	47045	24680	43440	24156	48505	36498	70101	47994	68822	21579	123364
ENSG00000116604.17	496740	364880	568136	93510	289573	343056	203237	102466	287846	273955	106921	118236	687212	191149
ENSG00000116641.17	11960	15884	20436	31023	21078	16373	14045	12293	8437	41268	64290	43560	15593	27006
ENSG00000116649.9	24562	29819	28218	94182	23594	27913	36770	36822	15316	103595	76485	138548	20742	132989
ENSG00000116652.6	1248	1973	260	1928	2381	1819	0	988	52	1584	6382	5231	468	2805
ENSG00000116661.9	522	480	431	338	500	239	338	138	198	5557	472	1505	632	166
ENSG00000116663.10	16003	22939	26724	13841	16184	27830	10227	18250	64644	31820	18244	17574	21798	29271
ENSG00000116667.12	33272	26206	17242	125915	47284	18058	3659	15768	25416	49777	13854	30926	12875	68461
ENSG00000116668.12	9138	11863	14633	10886	6293	6534	5655	17244	618	41063	30916	14766	7257	6358
ENSG00000116670.14	85498	78067	71737	44552	69022	87411	52646	59910	76952	62214	74570	109532	77613	99257
ENSG00000116675.15	26198	25587	12223	20849	20128	15084	35804	22868	13383	99916	171169	130225	6134	9624
ENSG00000116678.18	26235	67880	23003	79033	39855	22544	46780	22268	31254	91908	150252	132449	13485	22732
ENSG00000116679.15	179794	294780	263759	74538	520366	161516	59685	232995	199969	184298	178394	228347	164245	215816
ENSG00000116685.15	60527	20056	22746	55343	12068	61982	16607	32873	72147	66365	55313	99325	32788	143847
ENSG00000116688.16	154679	206808	162071	81742	197256	154802	183585	98891	198096	241809	437359	322723	178552	145687
ENSG00000116690.12	4903	3184	3669	4288	8882	4921	2419	1783	1605	13671	6117	4035	2875	8155
ENSG00000116691.10	84520	63522	92453	41279	56868	55663	66081	62118	67718	75332	70062	121776	65905	123409
ENSG00000116698.20	250024	165547	152193	124702	204046	215668	124056	87034	309362	174902	221993	246921	102180	133705
ENSG00000116701.14	484243	693846	496226	60269	400974	1292370	48530	269528	963597	96225	79364	268759	570720	985474
ENSG00000116703.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116704.7	20355	9697	26202	37652	24883	30446	7267	12476	44847	31032	20199	25041	20679	35145
ENSG00000116711.9	11161	5788	13431	14326	11835	11814	7589	7843	10516	17154	10298	17808	4089	25989
ENSG00000116717.11	66232	57319	54293	47468	126347	65108	90181	144796	91553	146712	243000	180080	36353	40973
ENSG00000116721.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116726.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116729.13	5368	17007	35654	2833	11978	27925	2228	50694	7066	5171	416	34491	16262	61699
ENSG00000116731.22	109776	127724	165917	70436	121982	161304	203912	59650	161828	151998	78739	79396	104223	65623
ENSG00000116741.7	538932	289367	862213	81269	393190	520513	38826	421592	1916925	189342	38669	344285	825425	520266
ENSG00000116745.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116747.12	140399	88044	99082	43457	93990	155439	88250	47331	140927	55305	99455	74555	72690	59435
ENSG00000116748.20	364	828	0	0	1504	102	0	0	0	4992	363	884	260	4987
ENSG00000116750.13	43952	28293	29633	45984	37384	49842	18930	45865	27429	71088	111799	69146	18572	73671
ENSG00000116752.5	69355	71353	74953	48035	82047	57764	48701	28838	41916	106983	71696	65998	46302	50684
ENSG00000116754.13	510468	388990	624656	306193	545842	378601	358856	296808	402504	416460	598923	314835	488953	428220
ENSG00000116761.11	5526	4336	6557	2907	7271	1979	7162	3431	1507	5102	4370	8042	5186	361
ENSG00000116771.5	1040	1039	561	2142	1558	462	2768	1144	515	4577	3521	3827	1140	2018
ENSG00000116774.11	4667	10952	0	52	3882	3584	0	5252	872	5126	831	5450	2338	8816
ENSG00000116783.14	280	321	2013	2225	2074	208	0	0	2079	1091	638	4676	1391	4784
ENSG00000116785.13	91	261	0	289	0	358	0	0	520	986	0	104	0	1716
ENSG00000116786.11	367352	257968	390411	109066	246141	302053	253786	138385	409796	163011	174749	176131	422738	153823
ENSG00000116791.13	13835	12314	3612	36619	14575	9327	6827	8286	5680	24344	8530	30658	6372	10620
ENSG00000116793.15	30315	16588	22107	36063	68159	17773	19488	14774	38981	33829	21141	17683	21992	44356
ENSG00000116809.11	78000	66874	132931	44275	99384	47045	89766	60904	97967	76748	47992	64625	72118	61767
ENSG00000116815.15	55756	55562	89986	31184	49895	60309	14021	53032	56949	46171	106834	83711	100972	68577
ENSG00000116819.6	2636	2098	5896	6256	2464	3621	1858	6470	1329	7259	3977	3854	1330	7516
ENSG00000116824.4	40802	17210	15150	6275	12442	13262	7559	5200	23880	89885	16193	18328	15301	46112
ENSG00000116830.11	38393	33554	42761	55454	54341	53831	30313	48340	26220	73435	121271	79003	20903	125536
ENSG00000116833.13	0	104	208	845	208	312	0	0	4754	467	0	140	37	49
ENSG00000116852.14	142128	103352	99168	39606	134442	68430	40826	19434	173511	127658	38704	41039	74584	58099
ENSG00000116857.16	41859	27409	38030	119384	37286	78778	40651	59857	37690	84382	83046	154087	24436	74324
ENSG00000116863.10	32896	17218	12194	36052	12459	34693	9396	8000	52097	45786	39284	54605	19584	66920
ENSG00000116871.15	389268	379637	416526	139913	264260	370027	247697	121514	400598	223336	73406	125317	527437	259645
ENSG00000116874.11	12459	6399	7396	14804	12676	16790	2964	11484	6715	17414	18067	15186	5933	15158
ENSG00000116882.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116883.8	3612	1532	6147	13389	8149	569	3924	0	52	46601	1011	3357	559	4932
ENSG00000116885.18	1299	815	1766	4734	1294	2410	774	0	415	1221	572	1733	1791	207
ENSG00000116898.11	101942	86173	58450	72874	67603	115053	39667	65893	88664	86846	129374	130062	61314	147640
ENSG00000116903.7	60024	44775	74654	26647	26718	54906	35218	20112	56463	47501	57543	29467	44771	19879
ENSG00000116906.11	42685	33780	38206	77565	36432	61656	19649	58220	34679	78994	112085	99194	25264	89701
ENSG00000116918.13	52216	51540	74609	71676	45597	101798	18642	43383	94547	59028	114940	120354	21896	100918
ENSG00000116922.14	47898	11029	4484	21207	16536	26818	26429	25806	6122	34080	69548	51272	4830	19227
ENSG00000116954.7	71964	34500	33622	34342	44547	58908	33065	18603	49685	40694	56292	69558	67529	58610
ENSG00000116957.12	13851	17004	13532	30477	19917	19354	11064	10741	22348	37798	31223	45926	12470	39781
ENSG00000116962.14	39014	46712	83065	3164	11288	58428	12933	15692	8772	15959	3570	30121	64153	151039
ENSG00000116977.18	359063	204242	188302	126494	161034	339580	111671	79275	356238	168853	165231	166327	239250	203931
ENSG00000116981.3	52	102	0	0	0	0	0	0	464	0	0	0	0	0
ENSG00000116983.12	2183	6805	312	207	2387	2080	2901	780	1290	1092	363	72	9444	364
ENSG00000116984.12	41950	32278	35508	70266	32033	29398	15270	31043	39402	86328	63906	67167	31200	56287
ENSG00000116985.11	3670	4515	1969	10786	1516	21556	1152	4158	5676	7975	11502	11306	4228	41248
ENSG00000116990.10	52181	5434	6277	728	3366	87054	1872	6548	24219	3587	2941	7367	33210	86486
ENSG00000116991.10	30707	24241	20011	1243	3384	7935	0	3224	32834	11940	2545	9560	26496	10844
ENSG00000116996.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000117000.8	147460	124508	128017	32777	136026	141252	77499	51737	101281	75663	72372	49566	147276	28655
ENSG00000117009.11	11322	4923	43052	28233	1742	11743	2108	20336	3310	18447	7985	22666	7057	81266
ENSG00000117010.15	7947	6374	8697	5654	4765	13292	564	2842	17678	6292	5857	3522	2627	7674
ENSG00000117013.14	227	1343	1236	672	1952	1402	1764	13549	1282	5077	18918	18493	467	1465
ENSG00000117016.9	4726	3361	3424	2860	2620	4088	2028	11582	2235	16371	46015	23387	2751	11672
ENSG00000117020.16	19846	16088	47365	73707	16182	20809	3430	4743	15516	52657	20155	20400	9013	43348
ENSG00000117036.11	224450	89882	162737	32572	61800	142892	46312	37644	114227	116083	37995	44237	151811	28286
ENSG00000117054.13	49946	28026	27857	135452	43617	51170	38556	32420	35747	121103	117626	114295	17519	135119
ENSG00000117069.14	0	52	0	0	0	260	0	0	0	2351	0	0	0	624
ENSG00000117090.14	18648	6215	338454	2017	3171	8984	12766	1538	69884	13685	3232	2600	6869	9846
ENSG00000117091.9	521996	295827	568363	50788	127664	643874	73623	228657	774489	215807	29508	153330	385635	701114
ENSG00000117114.19	156	1308	204	166	0	0	0	0	108	1450	1820	312	52	780
ENSG00000117115.12	9506	56769	26903	6701	50569	19174	4534	39641	63402	12575	13810	44941	33652	147146
ENSG00000117118.9	111937	82297	109270	69430	80267	150397	44878	58690	150931	88187	134108	154457	81195	174781
ENSG00000117122.13	0	312	0	326	328	52	22	0	728	16078	0	0	260	363
ENSG00000117133.10	92073	80168	99420	48993	67378	124812	37749	29024	109859	72620	58641	66694	74232	65868
ENSG00000117139.16	58319	105911	128653	130421	145565	68330	122563	31068	110487	141130	92955	86959	91986	27462
ENSG00000117143.13	28336	54176	24988	45656	30980	17909	20330	16792	16248	41454	33464	43323	59389	31473
ENSG00000117148.7	0	0	0	0	130	0	0	0	0	416	0	520	0	260
ENSG00000117151.12	59751	48003	105388	54088	44230	135501	16814	23398	104379	38399	21029	48841	86703	87831
ENSG00000117152.13	0	52	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000117153.15	27312	25158	33538	60412	32494	45161	36278	27124	40797	68361	111565	112729	36267	58869
ENSG00000117154.11	0	156	0	22	0	0	0	2299	44	1470	0	416	0	364
ENSG00000117155.16	81273	41891	28641	58068	55948	61818	54162	28207	42526	72271	221099	180133	16462	36500
ENSG00000117174.10	21061	10086	26773	45113	22088	26842	5861	7938	13879	36387	29250	44238	16000	27865
ENSG00000117215.14	1345	607	0	0	312	985	0	52	364	6026	156	462	830	830
ENSG00000117222.13	22665	16219	10755	25724	13447	23139	15359	10574	15687	30092	61311	61771	12967	39967
ENSG00000117226.11	25070	13109	15021	25039	24935	15797	4984	14582	31392	31853	28543	11892	6769	37881
ENSG00000117228.9	54434	13396	5090	25744	14699	29624	5355	19449	240810	102330	64126	9836	5444	88722
ENSG00000117242.7	52056	36634	56612	73229	41341	63249	41238	57580	45481	98328	122941	102646	47656	96624
ENSG00000117245.12	0	728	104	467	399	520	31	624	354	780	52	2238	104	0
ENSG00000117262.18	26487	16456	13189	28717	17368	18888	5181	21432	12863	47573	63561	51500	10956	35228
ENSG00000117266.15	8278	11670	16637	45404	15293	4710	2548	207	8475	22098	4562	17085	4048	33812
ENSG00000117280.12	32478	16192	34620	22919	10262	53763	3746	11538	56124	48928	25220	22639	31565	56544
ENSG00000117281.15	884	1934	505	726	1185	747	1820	1560	156	16213	3885	8288	2156	2080
ENSG00000117298.14	55967	173185	23598	80791	51080	237094	30225	48745	486150	124671	101941	104083	300170	79944
ENSG00000117305.14	6733	14402	18263	34094	15494	20266	4280	17367	20216	40204	34747	23554	9730	50728
ENSG00000117308.14	28049	17541	5281	11623	7049	20344	7901	12468	39985	27958	12212	40058	13673	50815
ENSG00000117318.8	7056	7517	9832	2496	3868	3480	6143	11584	5878	117103	779	2258	5628	1901
ENSG00000117322.16	884	882	0	361	2340	52	2429	0	1188	2547	8642	988	156	1296
ENSG00000117335.19	218737	177989	192860	225811	191732	263439	123744	133513	298321	182142	160379	136752	232093	266520
ENSG00000117360.12	77591	99406	104196	56377	172144	72627	69799	84820	86998	93119	137370	144991	86803	90821
ENSG00000117362.12	453066	215610	268816	293575	228216	515685	81076	109427	575243	299791	131470	269283	322132	398638
ENSG00000117385.15	34333	22748	20517	82481	44738	36070	21177	28731	35756	77374	84503	81608	28129	113090
ENSG00000117394.19	1093753	351532	272466	160707	753831	697590	1021973	529401	78833	1057098	2440424	1674496	124294	125339
ENSG00000117395.11	28862	34144	23281	80079	16552	32353	23727	42408	11170	111378	104077	150813	17319	91185
ENSG00000117399.13	60634	40339	18631	7712	89244	58168	19166	146296	17152	103239	330254	309911	7656	116771
ENSG00000117400.15	701	2833	676	37727	4886	182	2391	52	4693	26702	312	4825	984	548
ENSG00000117407.16	2444	1456	6544	364	236	2664	4311	6915	364	3613	30553	6997	208	10559
ENSG00000117408.10	12089	11672	11206	39157	13066	12954	23504	32085	10782	50370	77801	90042	8349	74418
ENSG00000117410.13	760050	477388	559405	136506	325877	759910	269816	447187	799179	219467	300512	350908	673996	526699
ENSG00000117411.16	8827	11971	3548	36636	12336	5795	16418	9083	3590	29502	41812	49124	2405	33576
ENSG00000117419.14	19402	28764	31698	60434	22781	32165	17018	23404	18379	70914	51615	83060	25250	66190
ENSG00000117425.13	2645	1774	4444	4535	2784	1574	2543	10289	1144	4282	6532	7776	1883	5037
ENSG00000117448.13	77886	62190	87050	291305	65867	105836	24025	68144	95916	147212	75901	107682	54382	314043
ENSG00000117450.13	85637	72659	45369	370610	69532	112326	44868	84092	60301	274602	313070	367746	70181	341973
ENSG00000117461.14	988	9121	2747	671	5307	2905	2756	8684	808	28674	30476	10964	312	7463
ENSG00000117472.9	156	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000117475.13	14460	19692	23271	32400	34897	12345	13667	11417	17826	38412	46056	41138	15477	26924
ENSG00000117477.12	28	482	312	1180	0	0	0	0	260	1245	566	2340	139	0
ENSG00000117479.12	16549	24220	106261	15546	24354	32709	3942	7806	46973	11730	11638	11170	23161	15057
ENSG00000117480.15	4580	45072	98396	26366	13935	1816	3918	4297	10394	2750	34144	66176	20329	81238
ENSG00000117481.10	24085	28161	46925	40358	51950	29705	19840	20874	19678	45510	34739	42398	27147	40038
ENSG00000117500.12	265258	183988	188776	61424	172935	263530	77472	105182	245447	115927	102461	87041	237376	145495
ENSG00000117501.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
